areaLabel,itemLabel,partyLabel
Likouala,Ekoundzola Jean Roger,PCT
Likouala,Gondzia Alphonse,PCT
Likouala,Longuelé André,PCT
Likouala,Mboudo Nesa Alphonse,PCT
Likouala,Mme Sangoubai née Manckangou Agathe,PCT
Likouala,Moundzalo Jacqueline,PCT
Cuvette-Ouest,Seba Sébastien,PCT
Cuvette-Ouest,Golengo Victoire,PCT
Cuvette-Ouest,Oba Gaston,PCT
Cuvette-Ouest,Lekoyi Dominique,PCT
Cuvette-Ouest,Itaddy Serge Dominique,PCT
Cuvette-Ouest,Assambou-Kiele Claire,PCT
Plateaux,Gakosso Edouard,PCT
Plateaux,Kanga René,PCT
Plateaux,Mountou-Bayonne Joséphine,PCT
Plateaux,Oba-Apounou Gabriel,PCT
Plateaux,Obami-Itou André,PCT
Plateaux,Olondowé Charlotte,PCT
Pool,Bitsindou née Kouyoulama Anne,PCT
Pool,Ganga Vincent,PCT
Pool,Manoukou-Kouba Jean-Pierre,PCT
Pool,Matoumby Adéodat Jackson,RC
Pool,Samba Zacharie,MCDDI
Pool,Mouanga-Nkéoua Lazare,DRD
Lekoumou,Ngoto Jeanne Emilie,PCT
Lekoumou,Moungala Jean Nicolas,PCT
Lekoumou,Andziba Epouma Jean Marie,Indépendant
Lekoumou,Ompebé Jean Marie,Indépendant
Lekoumou,Lekoundzou Emilienne Charlotte,PCT
Lekoumou,Missié Saya Jean,PCT
Niari,Inzoungou Massanga Zely Pierre,MAR
Niari,Ibinda Clobert,PCT
Niari,Ondaye née Mampessi Bernadette,PCT
Niari,Boussoukou-Boumba Pierre Damien,PCT
Niari,Boungouanza Emmanuel,UPADS
Niari,Boussou Diangou Joseph Adam,UPADS
Département de la Bouenza,Nzaba-Bakala Barthélémy,PCT
Département de Brazzaville,Ondongo Gabriel,PCT
