item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112568775,Ampion Philippe,,,,,2007-08-05,2012-09-05,male,Q112568775-09FDC441-E107-4F63-9121-A558EDFEA6D4
Q112568776,Aniaba Pierre Symphorien,Q5136089,Club 2002 – Party for the Unity of the Republic,,,2007-08-05,2012-09-05,male,Q112568776-E782173D-4E2B-45D1-BCB6-353D2246502D
Q5452128,Ayessa Firmin,Q1785816,Congolese Party of Labour,,,2007-08-05,2012-09-05,male,Q5452128-1A36E6FD-A5BD-42C8-9EDF-EEC9061EA47B
Q112654999,Badiabo Joseph,Q3326534,Congolese Movement for Democracy and Integral Development,,,2007-08-05,2012-09-05,,Q112654999-D4E09100-EB22-4CBD-A2C0-632C0BAAC21B
Q112655000,Baloubouka Daniel,,,,,2007-08-05,2012-09-05,,Q112655000-38E9C915-1C99-4E94-897F-EA9281C14D27
Q112655001,Basseyla Dominique,,,,,2007-08-05,2012-09-05,,Q112655001-6A9A711C-CE82-4818-9651-582333BD54C0
Q112568779,Batheas Jean Marie,Q327591,IND,,,2007-08-05,2012-09-05,male,Q112568779-E18B8901-AE80-4939-A80D-6A9ABC9CA1DC
Q16951225,Bati Benoît,,,,,2007-08-05,2012-09-05,male,Q16951225-A3622B37-F12E-4C93-B337-D9249B09A573
Q112655002,Bayakissa Ambroise,Q1785816,Congolese Party of Labour,,,2007-08-05,2012-09-05,,Q112655002-827CE57A-5C37-489E-8709-4E2552E437A6
Q16727513,Bidimbou Michel,,,,,2007-08-05,2012-09-05,male,Q16727513-A80CAE0B-DA8D-46D8-9DB7-F04DBCE1ABEB
Q112655004,Bongo Jean Richard,Q327591,IND,,,2007-08-05,2012-09-05,,Q112655004-59C3D40A-86D5-42E3-B0DB-4B2C5FF0D23A
Q112568782,Bongo Mavoungou Raymond,Q1785816,Congolese Party of Labour,,,2007-08-05,2012-09-05,male,Q112568782-D2C7B701-1043-4201-9B8B-0E1E7059A1A5
Q112568783,Bopoumbou Jean Marie,Q7677556,Take Action for Congo,,,2007-08-05,2012-09-05,male,Q112568783-8C5788D1-76BD-47AB-9FF5-8EE6FA6813D6
Q16727600,Bouiti-Viaudo,,,,,2007-08-05,2012-09-05,male,Q16727600-5DAED898-8D8A-4B7E-82F0-81B4EAE8F110
Q112655005,Boussoukou Auguste,Q3550401,Pan-African Union for Social Democracy,,,2007-08-05,2012-09-05,,Q112655005-EDE1FAB7-AEFA-4C41-BE0F-4492487A66DB
Q112655006,Bouya Serge César,Q327591,IND,,,2007-08-05,2012-09-05,,Q112655006-90D6073F-059C-4E5E-8081-D4510B1FBE93
Q112655007,Bouétoubassa Prosper,Q3326534,Congolese Movement for Democracy and Integral Development,,,2007-08-05,2012-09-05,,Q112655007-D64E57A7-7F20-44EC-978C-71D833A9A915
Q112655008,Bété-Siba Emmanuel,Q1785816,Congolese Party of Labour,,,2007-08-05,2012-09-05,,Q112655008-3FDBB511-2407-442A-BC55-56082A4F0092
