item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q15046890,Jean-Claude Gakosso,Q18204385,Minister of Foreign Affairs of the Republic of Congo,2015-08-10,,,,Q15046890-AFF1695D-CF00-4E72-A6FE-8938CD193B1C
Q19819308,Thierry Moungalla,Q112320661,Minister of Communications,2015-08-11,,,,Q19819308-2F9EBD1C-A8E8-4EC2-A122-F27ED7DD25E9
Q24147892,Emile Ouosso,Q112320672,Minister of Equipment,2017-08-22,,,,Q24147892-F3C42062-B36B-41CB-81CE-B75895ED03A8
Q24150698,Calixte Ganongo,Q112320673,Minister of Finance,2017-08-22,,,,Q24150698-DDF9B6F0-FECB-4CB0-9617-99A2A50EAD5B
Q24175564,Jacqueline Lydia Mikolo,Q98966140,Health minister of the Republic of the Congo,2017-08-22,,,,Q24175564-07324758-51F6-4AA4-BEA8-54676BB31A39
Q24176158,Rosalie Matondo,Q112320675,Minister of Forestry,2017-08-22,,,,Q24176158-DF1EA18F-74C6-4ACD-B78D-E5250B2776CC
Q26237842,Ingrid Ebouka-Babackas,Q112320696,Minister of Planning,2017-08-22,,,,Q26237842-F70B0779-C7DD-4C98-8CE2-5DAC811DB9E9
Q26254130,Arlette Soudan-Nonault,Q112320720,Minister of Tourism,2017-08-22,,,,Q26254130-28CC4716-9C8D-48A3-99D8-53EED00E6FE7
Q26266432,Serge Blaise Zoniaba,Q112320671,Minister of Energy,2016-04-30,,,,Q26266432-5D909BE0-28F3-4DBE-BCA8-BC0205441449
Q26689539,Jean-Marc Thystère-Tchicaya,Q112320678,Minister of Hydrocarbons,2015-08-11,,,,Q26689539-F6D3A606-1204-4577-AD0D-6CECE1AF5F47
Q3142653,Hugues Ngouelondélé,Q112320713,Minister of Sports,2017-08-22,,,,Q3142653-F597FBAB-2DFA-406C-9D5D-761E0C4F0CB0
Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Q112320703,Minister of Scientific Research,2017-08-22,2022-03-14,,,Q3295579-CD397191-1F03-466E-BBBF-C611B1B33CC3
Q33026718,Gilbert Mokoki,Q112320711,Minister of Special Economic Zones,2017-08-22,,,,Q33026718-3D53D8B1-EAD7-407F-88AC-97283D9DF776
Q3386464,Pierre Oba,Q112320693,Minister of Mines,2005-01-07,,,,Q3386464-078570BE-196F-4238-8436-3A7031E6632E
Q40770924,Léon Juste Ibombo,Q112320698,Minister of Posts and Telecommunications,2016-04-30,,,,Q40770924-9CDD3709-0E85-4FDC-B605-13324A15867A
Q4686987,Adélaïde Moundélé-Ngollo,Q112320707,Minister of Small and Medium Enterprises and Handicrafts,2007-12-30,,,,Q4686987-3A533C50-A061-49DF-93EC-50FEF1F129FE
Q4752077,Anatole Collinet Makosso,Q30101451,Prime Minister of the Republic of the Congo,2021-05-12,,,,Q4752077-9939675A-D768-4B24-8B21-EFEA85FD322B
