position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Denis Sassou-Nguesso,Q57418,1997-10-25,male,1943-11-23,,Denis Sassou Nguesso 2014.jpg,Denis Sassou Nguesso
Prime Minister,Anatole Collinet Makosso,Q4752077,2021-05-12,male,1965,,,Anatole Collinet Makosso
Minister of Agriculture,Paul Valentin Ngobo,Q112581328,2021-05-15,male,,,,
Minister of Civil Service,Firmin Ayessa,Q5452128,2021-05-15,male,1951-11-02,,Firmin Ayessa - 2018 (cropped).png,Firmin Ayessa
Minister of Commerce,Claude Alphonse Nsilou,Q5128679,2017-08-22,male,1954,,,Claude Alphonse Nsilou
Minister of Communications,Thierry Moungalla,Q19819308,2015-08-11,male,1965-04-15,,Thierry Moungalla (cropped).jpg,
Minister of Construction,Josué Rodrigue Ngouonimba,Q55807584,2017-08-22,male,1963-02-17,,,
Minister of Culture and Arts,Dieudonné Moyongo,Q59676765,2017-08-22,male,1958-12-21,,,
Minister of Economy,Ingrid Ebouka-Babackas,Q26237842,2021-05-15,female,,,,Ingrid Ebouka-Babackas
Minister of Education,Jean-Luc Moutou,Q112581262,2021-05-15,male,,,,
Minister of Energy,Honoré Sayi,Q106366290,2021-05-15,male,1960-09-04,,Honoré Sayi - 2017 (cropped).jpg,
Minister of the Environment,Arlette Soudan-Nonault,Q26254130,2021-05-15,female,,,Arlette Soudan-Nonault - 2019.png,Arlette Soudan-Nonault
Minister of Finance,Rigobert Roger Andely,Q23900401,2021-05-15,male,1953-06-07,,,Rigobert Roger Andely
Minister of Foreign Affairs,Jean-Claude Gakosso,Q15046890,2015-08-10,male,1957-07-25,,Jean-Claude Gakosso (2015) (cropped).jpg,Jean-Claude Gakosso
Minister of Forestry,Rosalie Matondo,Q24176158,2017-08-22,female,1963-04-18,,Rosalie Matondo (cropped).jpg,Rosalie Matondo
Minister of Health,Gilbert Mokoki,Q33026718,2021-05-15,male,1949-08-28,,Gilbert Mokoki - June 2017 (cropped).jpg,
Minister of Higher Education,Edith Delphine Emmanuelle,Q112581306,2021-05-15,female,,,,
Minister of Hydrocarbons,Bruno Itoua,Q4979263,2021-05-15,male,1956-10-06,,,Bruno Itoua
Minister of Industrial Development,Nicéphore Fylla de Saint-Eudes,Q57464277,2021-05-15,male,1956,,,
Minister of International Cooperation,Denis-Christel Sassou Nguesso,Q3022596,2021-05-15,male,1975-01-14,,Denis Christel Sassou Nguesso - 2018 (cropped).jpg,Denis-Christel Sassou Nguesso
Minister of Justice,Aimé Ange Wilfrid Bininga,Q50379869,2017-08-22,male,,,Aimé Ange Wilfrid Bininga (cropped).jpg,
Minister of Land,Pierre Mabiala,Q7192339,2017-08-22,male,1962-10-15,,Pierre Mabiala 2016 (cropped).jpg,Pierre Mabiala
Minister of Mines,Pierre Oba,Q3386464,2005-01-07,male,1953-07-17,,Pierre Oba - 2017 (cropped).jpg,Pierre Oba
Minister of National Defence,Charles Richard Mondjo,Q5082018,2012-09-25,male,1954-01-28,,Charles Richard Mondjo - 2019 (cropped).jpg,Charles Richard Mondjo
Minister of Posts and Telecommunications,Léon Juste Ibombo,Q40770924,2016-04-30,male,1968-11-30,,Léon Juste Ibombo (cropped).jpg,
Minister of Security and Public Order,Raymond Mboulou,Q7299001,2021-05-15,male,1956-03-19,,"Raymond Mboulou, July 2016.jpg",Raymond Mboulou
Minister of Small and Medium Enterprises and Handicrafts,Jacqueline Lydia Mikolo,Q24175564,2021-05-15,female,1972,,Jacqueline Lydia Mikolo - 2020 (cropped).jpg,Jacqueline Lydia Mikolo
Minister of Social Affairs,Irène Mboukou,Q108601356,2021-05-15,female,,,,
Minister of Special Economic Zones,Emile Ouosso,Q24147892,2021-05-15,male,,,,
Minister of Sports,Hugues Ngouelondélé,Q3142653,2017-08-22,male,1961-11-30,,,Hugues Ngouelondélé
Minister of State Control,Jean Rosaire Ibara,Q112581744,2021-05-15,male,,,,
Minister of Territorial Administration,Guy Georges Mbaka,Q112581337,2021-05-15,male,,,,
Minister of Territorial Development,Jean-Jacques Bouya,Q6169352,2021-05-15,male,1962-05-24,,,Jean-Jacques Bouya
Minister of Tourism,Destinée Ermela Doukaga,Q48778190,2021-05-15,female,1983-10-08,,,Destinée Doukaga
Minister of Transport,Jean-Marc Thystère-Tchicaya,Q26689539,2021-05-15,male,1964-04-11,,Jean-Marc Thystère-Tchicaya - 2017 (cropped).jpg,
Minister of Vocational Training and Employment,Ghislain Thierry Manguessa Ebome,Q112581719,2021-05-15,male,,,,
Minister of Women,Inès Nefer Ingani,Q61600532,2021-05-15,female,1972,,Inès Nefer Ingani (cropped).jpg,Inès Nefer Bertille Ingani
Minister Delegate to the Prime Minister,Luc-Joseph Okio,Q63442291,2021-05-15,male,1949,,Luc-Joseph Okio - 2012 (cropped).jpg,
Minister Delegate to the Minister of Finance,Ludovic Ngatsé,Q112581016,2017-08-22,male,,,,
